id,label,group,level,shape,color,font.size,font.color,node_type,product_id
R003,Packaging Line A1,Resource,2,circle,#32CD32,10,black,Production,P06
P07,Sambar Powder 100+100gm,Product,1,box,#2E8B57,16,white,BOM,P07
PK005,Small Pouch,Packaging,3,box,NA,10,NA,BOM,P07
PK006,Combo Pack Wrapper,Packaging,3,box,NA,10,NA,BOM,P07
SF002,Sambar Powder Base Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P07
RM001,Coriander Seeds,Raw Material,5,box,NA,10,NA,BOM,P07
RM007,Red Chili Powder,Raw Material,5,box,NA,10,NA,BOM,P07
RM008,Turmeric Powder,Raw Material,5,box,NA,10,NA,BOM,P07
RM009,Fenugreek Seeds,Raw Material,5,box,NA,10,NA,BOM,P07
RM010,Asafoetida,Raw Material,5,box,NA,10,NA,BOM,P07
BM001,Fresh Coriander Seeds,Base Material,7,box,NA,10,NA,BOM,P07
BM004,Fresh Red Chilies,Base Material,7,box,NA,10,NA,BOM,P07
BM005,Fresh Turmeric Roots,Base Material,7,box,NA,10,NA,BOM,P07
R007,Spice Grinder C1,Resource,6,circle,#32CD32,10,black,Production,P07
R008,Blending Machine C1,Resource,4,circle,#32CD32,10,black,Production,P07
R009,Packaging Line C1,Resource,2,circle,#32CD32,10,black,Production,P07
P08,Curry Powder 250gm,Product,1,box,#2E8B57,16,white,BOM,P08
PK001,Primary Pouch,Packaging,3,box,NA,10,NA,BOM,P08
PK002,Secondary Label,Packaging,3,box,NA,10,NA,BOM,P08
SF003,Curry Powder Base Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P08
RM001,Coriander Seeds,Raw Material,5,box,NA,10,NA,BOM,P08
RM002,Cumin Seeds,Raw Material,5,box,NA,10,NA,BOM,P08
RM007,Red Chili Powder,Raw Material,5,box,NA,10,NA,BOM,P08
RM008,Turmeric Powder,Raw Material,5,box,NA,10,NA,BOM,P08
RM011,Curry Leaves,Raw Material,5,box,NA,10,NA,BOM,P08
BM001,Fresh Coriander Seeds,Base Material,7,box,NA,10,NA,BOM,P08
BM002,Fresh Cumin Seeds,Base Material,7,box,NA,10,NA,BOM,P08
BM004,Fresh Red Chilies,Base Material,7,box,NA,10,NA,BOM,P08
BM005,Fresh Turmeric Roots,Base Material,7,box,NA,10,NA,BOM,P08
BM006,Fresh Curry Leaves,Base Material,7,box,NA,10,NA,BOM,P08
R001,Spice Grinder A1,Resource,6,circle,#32CD32,10,black,Production,P08
R002,Blending Machine A1,Resource,4,circle,#32CD32,10,black,Production,P08
R003,Packaging Line A1,Resource,2,circle,#32CD32,10,black,Production,P08
P09,Chaat Masala 250gm,Product,1,box,#2E8B57,16,white,BOM,P09
PK001,Primary Pouch,Packaging,3,box,NA,10,NA,BOM,P09
PK002,Secondary Label,Packaging,3,box,NA,10,NA,BOM,P09
SF004,Chaat Masala Base Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P09
RM002,Cumin Seeds,Raw Material,5,box,NA,10,NA,BOM,P09
RM003,Black Pepper,Raw Material,5,box,NA,10,NA,BOM,P09
RM012,Black Salt,Raw Material,5,box,NA,10,NA,BOM,P09
RM013,Dried Mint Leaves,Raw Material,5,box,NA,10,NA,BOM,P09
RM014,Amchur Powder,Raw Material,5,box,NA,10,NA,BOM,P09
BM002,Fresh Cumin Seeds,Base Material,7,box,NA,10,NA,BOM,P09
BM003,Fresh Black Peppercorns,Base Material,7,box,NA,10,NA,BOM,P09
BM007,Rock Salt,Base Material,7,box,NA,10,NA,BOM,P09
BM008,Fresh Mint Leaves,Base Material,7,box,NA,10,NA,BOM,P09
R007,Spice Grinder C1,Resource,6,circle,#32CD32,10,black,Production,P09
R008,Blending Machine C1,Resource,4,circle,#32CD32,10,black,Production,P09
R009,Packaging Line C1,Resource,2,circle,#32CD32,10,black,Production,P09
P10,Dal Makhani 250gm,Product,1,box,#2E8B57,16,white,BOM,P10
PK007,Ready Meal Pouch,Packaging,3,box,NA,10,NA,BOM,P10
PK008,Outer Box,Packaging,3,box,NA,10,NA,BOM,P10
SF005,Dal Makhani Base,Semi-finished,3,ellipse,NA,10,NA,BOM,P10
SF006,Makhani Gravy,Semi-finished,3,ellipse,NA,10,NA,BOM,P10
RM015,Black Urad Dal,Raw Material,5,box,NA,10,NA,BOM,P10
RM016,Rajma Beans,Raw Material,5,box,NA,10,NA,BOM,P10
RM017,Onion Powder,Raw Material,5,box,NA,10,NA,BOM,P10
RM018,Ginger-Garlic Paste,Raw Material,5,box,NA,10,NA,BOM,P10
RM019,Tomato Puree,Raw Material,5,box,NA,10,NA,BOM,P10
RM020,Cream,Raw Material,5,box,NA,10,NA,BOM,P10
RM021,Butter,Raw Material,5,box,NA,10,NA,BOM,P10
BM009,Fresh Black Urad,Base Material,7,box,NA,10,NA,BOM,P10
BM010,Fresh Rajma,Base Material,7,box,NA,10,NA,BOM,P10
BM011,Fresh Tomatoes,Base Material,7,box,NA,10,NA,BOM,P10
R010,Cooking Vessel A1,Resource,6,circle,#32CD32,10,black,Production,P10
R011,Retort Machine A1,Resource,4,circle,#32CD32,10,black,Production,P10
R012,Aseptic Packaging A1,Resource,2,circle,#32CD32,10,black,Production,P10
P11,Chole 100gm,Product,1,box,#2E8B57,16,white,BOM,P11
PK002,Secondary Label,Packaging,3,box,NA,10,NA,BOM,P11
PK009,Small Ready Meal Pouch,Packaging,3,box,NA,10,NA,BOM,P11
SF007,Chole Base,Semi-finished,3,ellipse,NA,10,NA,BOM,P11
SF008,Chole Masala Gravy,Semi-finished,3,ellipse,NA,10,NA,BOM,P11
RM017,Onion Powder,Raw Material,5,box,NA,10,NA,BOM,P11
RM018,Ginger-Garlic Paste,Raw Material,5,box,NA,10,NA,BOM,P11
RM019,Tomato Puree,Raw Material,5,box,NA,10,NA,BOM,P11
RM022,Dried Chickpeas,Raw Material,5,box,NA,10,NA,BOM,P11
RM023,Oil,Raw Material,5,box,NA,10,NA,BOM,P11
SF001,Garam Masala Base Mix,Semi-finished,5,ellipse,NA,10,NA,BOM,P11
BM011,Fresh Tomatoes,Base Material,7,box,NA,10,NA,BOM,P11
BM013,Fresh Chickpeas,Base Material,7,box,NA,10,NA,BOM,P11
RM001,Coriander Seeds,Raw Material,7,box,NA,10,NA,BOM,P11
RM002,Cumin Seeds,Raw Material,7,box,NA,10,NA,BOM,P11
RM003,Black Pepper,Raw Material,7,box,NA,10,NA,BOM,P11
RM004,Cinnamon Sticks,Raw Material,7,box,NA,10,NA,BOM,P11
RM005,Green Cardamom,Raw Material,7,box,NA,10,NA,BOM,P11
RM006,Bay Leaves,Raw Material,7,box,NA,10,NA,BOM,P11
BM001,Fresh Coriander Seeds,Base Material,9,box,NA,10,NA,BOM,P11
BM002,Fresh Cumin Seeds,Base Material,9,box,NA,10,NA,BOM,P11
BM003,Fresh Black Peppercorns,Base Material,9,box,NA,10,NA,BOM,P11
R001,Spice Grinder A1,Resource,8,circle,#32CD32,10,black,Production,P11
R010,Cooking Vessel A1,Resource,6,circle,#32CD32,10,black,Production,P11
R011,Retort Machine A1,Resource,4,circle,#32CD32,10,black,Production,P11
R012,Aseptic Packaging A1,Resource,2,circle,#32CD32,10,black,Production,P11
P12,Chole 250gm,Product,1,box,#2E8B57,16,white,BOM,P12
PK007,Ready Meal Pouch,Packaging,3,box,NA,10,NA,BOM,P12
PK008,Outer Box,Packaging,3,box,NA,10,NA,BOM,P12
SF007,Chole Base,Semi-finished,3,ellipse,NA,10,NA,BOM,P12
SF008,Chole Masala Gravy,Semi-finished,3,ellipse,NA,10,NA,BOM,P12
RM017,Onion Powder,Raw Material,5,box,NA,10,NA,BOM,P12
RM018,Ginger-Garlic Paste,Raw Material,5,box,NA,10,NA,BOM,P12
RM019,Tomato Puree,Raw Material,5,box,NA,10,NA,BOM,P12
RM022,Dried Chickpeas,Raw Material,5,box,NA,10,NA,BOM,P12
RM023,Oil,Raw Material,5,box,NA,10,NA,BOM,P12
SF001,Garam Masala Base Mix,Semi-finished,5,ellipse,NA,10,NA,BOM,P12
BM011,Fresh Tomatoes,Base Material,7,box,NA,10,NA,BOM,P12
BM013,Fresh Chickpeas,Base Material,7,box,NA,10,NA,BOM,P12
RM001,Coriander Seeds,Raw Material,7,box,NA,10,NA,BOM,P12
RM002,Cumin Seeds,Raw Material,7,box,NA,10,NA,BOM,P12
RM003,Black Pepper,Raw Material,7,box,NA,10,NA,BOM,P12
RM004,Cinnamon Sticks,Raw Material,7,box,NA,10,NA,BOM,P12
RM005,Green Cardamom,Raw Material,7,box,NA,10,NA,BOM,P12
RM006,Bay Leaves,Raw Material,7,box,NA,10,NA,BOM,P12
BM001,Fresh Coriander Seeds,Base Material,9,box,NA,10,NA,BOM,P12
BM002,Fresh Cumin Seeds,Base Material,9,box,NA,10,NA,BOM,P12
BM003,Fresh Black Peppercorns,Base Material,9,box,NA,10,NA,BOM,P12
R001,Spice Grinder A1,Resource,8,circle,#32CD32,10,black,Production,P12
R010,Cooking Vessel A1,Resource,6,circle,#32CD32,10,black,Production,P12
R011,Retort Machine A1,Resource,4,circle,#32CD32,10,black,Production,P12
R012,Aseptic Packaging A1,Resource,2,circle,#32CD32,10,black,Production,P12
P13,Chole 500gm,Product,1,box,#2E8B57,16,white,BOM,P13
PK010,Large Ready Meal Pouch,Packaging,3,box,NA,10,NA,BOM,P13
PK011,Large Outer Box,Packaging,3,box,NA,10,NA,BOM,P13
SF007,Chole Base,Semi-finished,3,ellipse,NA,10,NA,BOM,P13
SF008,Chole Masala Gravy,Semi-finished,3,ellipse,NA,10,NA,BOM,P13
RM017,Onion Powder,Raw Material,5,box,NA,10,NA,BOM,P13
RM018,Ginger-Garlic Paste,Raw Material,5,box,NA,10,NA,BOM,P13
RM019,Tomato Puree,Raw Material,5,box,NA,10,NA,BOM,P13
RM022,Dried Chickpeas,Raw Material,5,box,NA,10,NA,BOM,P13
RM023,Oil,Raw Material,5,box,NA,10,NA,BOM,P13
SF001,Garam Masala Base Mix,Semi-finished,5,ellipse,NA,10,NA,BOM,P13
BM011,Fresh Tomatoes,Base Material,7,box,NA,10,NA,BOM,P13
BM013,Fresh Chickpeas,Base Material,7,box,NA,10,NA,BOM,P13
RM001,Coriander Seeds,Raw Material,7,box,NA,10,NA,BOM,P13
RM002,Cumin Seeds,Raw Material,7,box,NA,10,NA,BOM,P13
RM003,Black Pepper,Raw Material,7,box,NA,10,NA,BOM,P13
RM004,Cinnamon Sticks,Raw Material,7,box,NA,10,NA,BOM,P13
RM005,Green Cardamom,Raw Material,7,box,NA,10,NA,BOM,P13
RM006,Bay Leaves,Raw Material,7,box,NA,10,NA,BOM,P13
BM001,Fresh Coriander Seeds,Base Material,9,box,NA,10,NA,BOM,P13
BM002,Fresh Cumin Seeds,Base Material,9,box,NA,10,NA,BOM,P13
BM003,Fresh Black Peppercorns,Base Material,9,box,NA,10,NA,BOM,P13
R001,Spice Grinder A1,Resource,8,circle,#32CD32,10,black,Production,P13
R010,Cooking Vessel A1,Resource,6,circle,#32CD32,10,black,Production,P13
R011,Retort Machine A1,Resource,4,circle,#32CD32,10,black,Production,P13
R012,Aseptic Packaging A1,Resource,2,circle,#32CD32,10,black,Production,P13
P14,Chole 1kg,Product,1,box,#2E8B57,16,white,BOM,P14
PK012,XL Ready Meal Pouch,Packaging,3,box,NA,10,NA,BOM,P14
PK013,XL Outer Box,Packaging,3,box,NA,10,NA,BOM,P14
SF007,Chole Base,Semi-finished,3,ellipse,NA,10,NA,BOM,P14
SF008,Chole Masala Gravy,Semi-finished,3,ellipse,NA,10,NA,BOM,P14
RM017,Onion Powder,Raw Material,5,box,NA,10,NA,BOM,P14
RM018,Ginger-Garlic Paste,Raw Material,5,box,NA,10,NA,BOM,P14
RM019,Tomato Puree,Raw Material,5,box,NA,10,NA,BOM,P14
RM022,Dried Chickpeas,Raw Material,5,box,NA,10,NA,BOM,P14
RM023,Oil,Raw Material,5,box,NA,10,NA,BOM,P14
SF001,Garam Masala Base Mix,Semi-finished,5,ellipse,NA,10,NA,BOM,P14
BM011,Fresh Tomatoes,Base Material,7,box,NA,10,NA,BOM,P14
BM013,Fresh Chickpeas,Base Material,7,box,NA,10,NA,BOM,P14
RM001,Coriander Seeds,Raw Material,7,box,NA,10,NA,BOM,P14
RM002,Cumin Seeds,Raw Material,7,box,NA,10,NA,BOM,P14
RM003,Black Pepper,Raw Material,7,box,NA,10,NA,BOM,P14
RM004,Cinnamon Sticks,Raw Material,7,box,NA,10,NA,BOM,P14
RM005,Green Cardamom,Raw Material,7,box,NA,10,NA,BOM,P14
RM006,Bay Leaves,Raw Material,7,box,NA,10,NA,BOM,P14
BM001,Fresh Coriander Seeds,Base Material,9,box,NA,10,NA,BOM,P14
BM002,Fresh Cumin Seeds,Base Material,9,box,NA,10,NA,BOM,P14
BM003,Fresh Black Peppercorns,Base Material,9,box,NA,10,NA,BOM,P14
R001,Spice Grinder A1,Resource,8,circle,#32CD32,10,black,Production,P14
R010,Cooking Vessel A1,Resource,6,circle,#32CD32,10,black,Production,P14
R011,Retort Machine A1,Resource,4,circle,#32CD32,10,black,Production,P14
R012,Aseptic Packaging A1,Resource,2,circle,#32CD32,10,black,Production,P14
P15,Biryani 250gm,Product,1,box,#2E8B57,16,white,BOM,P15
PK007,Ready Meal Pouch,Packaging,3,box,NA,10,NA,BOM,P15
PK008,Outer Box,Packaging,3,box,NA,10,NA,BOM,P15
SF009,Biryani Rice Base,Semi-finished,3,ellipse,NA,10,NA,BOM,P15
SF010,Biryani Masala,Semi-finished,3,ellipse,NA,10,NA,BOM,P15
RM024,Basmati Rice,Raw Material,5,box,NA,10,NA,BOM,P15
RM025,Saffron,Raw Material,5,box,NA,10,NA,BOM,P15
RM026,Fried Onions,Raw Material,5,box,NA,10,NA,BOM,P15
RM027,Mint Leaves,Raw Material,5,box,NA,10,NA,BOM,P15
RM028,Chicken/Veg Pieces,Raw Material,5,box,NA,10,NA,BOM,P15
RM029,Yogurt,Raw Material,5,box,NA,10,NA,BOM,P15
SF001,Garam Masala Base Mix,Semi-finished,5,ellipse,NA,10,NA,BOM,P15
BM015,Premium Basmati,Base Material,7,box,NA,10,NA,BOM,P15
BM016,Kashmir Saffron,Base Material,7,box,NA,10,NA,BOM,P15
RM001,Coriander Seeds,Raw Material,7,box,NA,10,NA,BOM,P15
RM002,Cumin Seeds,Raw Material,7,box,NA,10,NA,BOM,P15
RM003,Black Pepper,Raw Material,7,box,NA,10,NA,BOM,P15
RM004,Cinnamon Sticks,Raw Material,7,box,NA,10,NA,BOM,P15
RM005,Green Cardamom,Raw Material,7,box,NA,10,NA,BOM,P15
RM006,Bay Leaves,Raw Material,7,box,NA,10,NA,BOM,P15
BM001,Fresh Coriander Seeds,Base Material,9,box,NA,10,NA,BOM,P15
BM002,Fresh Cumin Seeds,Base Material,9,box,NA,10,NA,BOM,P15
BM003,Fresh Black Peppercorns,Base Material,9,box,NA,10,NA,BOM,P15
R001,Spice Grinder A1,Resource,8,circle,#32CD32,10,black,Production,P15
R013,Cooking Vessel B1,Resource,6,circle,#32CD32,10,black,Production,P15
R014,Retort Machine B1,Resource,4,circle,#32CD32,10,black,Production,P15
R015,Aseptic Packaging B1,Resource,2,circle,#32CD32,10,black,Production,P15
P16,Chole 100+100gm,Product,1,box,#2E8B57,16,white,BOM,P16
PK006,Combo Pack Wrapper,Packaging,3,box,NA,10,NA,BOM,P16
PK009,Small Ready Meal Pouch,Packaging,3,box,NA,10,NA,BOM,P16
SF007,Chole Base,Semi-finished,3,ellipse,NA,10,NA,BOM,P16
SF008,Chole Masala Gravy,Semi-finished,3,ellipse,NA,10,NA,BOM,P16
RM017,Onion Powder,Raw Material,5,box,NA,10,NA,BOM,P16
RM018,Ginger-Garlic Paste,Raw Material,5,box,NA,10,NA,BOM,P16
RM019,Tomato Puree,Raw Material,5,box,NA,10,NA,BOM,P16
RM022,Dried Chickpeas,Raw Material,5,box,NA,10,NA,BOM,P16
RM023,Oil,Raw Material,5,box,NA,10,NA,BOM,P16
SF001,Garam Masala Base Mix,Semi-finished,5,ellipse,NA,10,NA,BOM,P16
BM011,Fresh Tomatoes,Base Material,7,box,NA,10,NA,BOM,P16
BM013,Fresh Chickpeas,Base Material,7,box,NA,10,NA,BOM,P16
RM001,Coriander Seeds,Raw Material,7,box,NA,10,NA,BOM,P16
RM002,Cumin Seeds,Raw Material,7,box,NA,10,NA,BOM,P16
RM003,Black Pepper,Raw Material,7,box,NA,10,NA,BOM,P16
RM004,Cinnamon Sticks,Raw Material,7,box,NA,10,NA,BOM,P16
RM005,Green Cardamom,Raw Material,7,box,NA,10,NA,BOM,P16
RM006,Bay Leaves,Raw Material,7,box,NA,10,NA,BOM,P16
BM001,Fresh Coriander Seeds,Base Material,9,box,NA,10,NA,BOM,P16
BM002,Fresh Cumin Seeds,Base Material,9,box,NA,10,NA,BOM,P16
BM003,Fresh Black Peppercorns,Base Material,9,box,NA,10,NA,BOM,P16
R001,Spice Grinder A1,Resource,8,circle,#32CD32,10,black,Production,P16
R016,Assembly Line C1,Resource,6,circle,#32CD32,10,black,Production,P16
R017,Quality Check C1,Resource,4,circle,#32CD32,10,black,Production,P16
R018,Combo Packaging C1,Resource,2,circle,#32CD32,10,black,Production,P16
P17,Biryani 100+100gm,Product,1,box,#2E8B57,16,white,BOM,P17
PK006,Combo Pack Wrapper,Packaging,3,box,NA,10,NA,BOM,P17
PK009,Small Ready Meal Pouch,Packaging,3,box,NA,10,NA,BOM,P17
SF009,Biryani Rice Base,Semi-finished,3,ellipse,NA,10,NA,BOM,P17
SF010,Biryani Masala,Semi-finished,3,ellipse,NA,10,NA,BOM,P17
RM024,Basmati Rice,Raw Material,5,box,NA,10,NA,BOM,P17
RM025,Saffron,Raw Material,5,box,NA,10,NA,BOM,P17
RM026,Fried Onions,Raw Material,5,box,NA,10,NA,BOM,P17
RM027,Mint Leaves,Raw Material,5,box,NA,10,NA,BOM,P17
RM028,Chicken/Veg Pieces,Raw Material,5,box,NA,10,NA,BOM,P17
RM029,Yogurt,Raw Material,5,box,NA,10,NA,BOM,P17
SF001,Garam Masala Base Mix,Semi-finished,5,ellipse,NA,10,NA,BOM,P17
BM015,Premium Basmati,Base Material,7,box,NA,10,NA,BOM,P17
BM016,Kashmir Saffron,Base Material,7,box,NA,10,NA,BOM,P17
RM001,Coriander Seeds,Raw Material,7,box,NA,10,NA,BOM,P17
RM002,Cumin Seeds,Raw Material,7,box,NA,10,NA,BOM,P17
RM003,Black Pepper,Raw Material,7,box,NA,10,NA,BOM,P17
RM004,Cinnamon Sticks,Raw Material,7,box,NA,10,NA,BOM,P17
RM005,Green Cardamom,Raw Material,7,box,NA,10,NA,BOM,P17
RM006,Bay Leaves,Raw Material,7,box,NA,10,NA,BOM,P17
BM001,Fresh Coriander Seeds,Base Material,9,box,NA,10,NA,BOM,P17
BM002,Fresh Cumin Seeds,Base Material,9,box,NA,10,NA,BOM,P17
BM003,Fresh Black Peppercorns,Base Material,9,box,NA,10,NA,BOM,P17
R001,Spice Grinder A1,Resource,8,circle,#32CD32,10,black,Production,P17
R016,Assembly Line C1,Resource,6,circle,#32CD32,10,black,Production,P17
R017,Quality Check C1,Resource,4,circle,#32CD32,10,black,Production,P17
R018,Combo Packaging C1,Resource,2,circle,#32CD32,10,black,Production,P17
P18,Masala Peanuts 250gm,Product,1,box,#2E8B57,16,white,BOM,P18
PK002,Secondary Label,Packaging,3,box,NA,10,NA,BOM,P18
PK014,Snack Pouch,Packaging,3,box,NA,10,NA,BOM,P18
SF011,Masala Peanut Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P18
RM007,Red Chili Powder,Raw Material,5,box,NA,10,NA,BOM,P18
RM030,Raw Peanuts,Raw Material,5,box,NA,10,NA,BOM,P18
RM031,Chickpea Flour,Raw Material,5,box,NA,10,NA,BOM,P18
RM032,Salt,Raw Material,5,box,NA,10,NA,BOM,P18
BM004,Fresh Red Chilies,Base Material,7,box,NA,10,NA,BOM,P18
BM017,Farm Peanuts,Base Material,7,box,NA,10,NA,BOM,P18
R019,Fryer A1,Resource,6,circle,#32CD32,10,black,Production,P18
R020,Seasoning Drum A1,Resource,4,circle,#32CD32,10,black,Production,P18
R021,Packaging Line A1,Resource,2,circle,#32CD32,10,black,Production,P18
P19,Aloo Bhujia 250gm,Product,1,box,#2E8B57,16,white,BOM,P19
PK002,Secondary Label,Packaging,3,box,NA,10,NA,BOM,P19
PK014,Snack Pouch,Packaging,3,box,NA,10,NA,BOM,P19
SF012,Aloo Bhujia Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P19
RM031,Chickpea Flour,Raw Material,5,box,NA,10,NA,BOM,P19
RM032,Salt,Raw Material,5,box,NA,10,NA,BOM,P19
